DTEEMPDN,DTHTNRNT,DTPPOPDN,DTRESDN,OTEEMPDN,OTHTNRNT,OTPPOPDN,OTRESDN,CENSUS_D,URBRUR,NEEDS_SCHOOL_BUS,"HHFAMINC_Less than $10,000","HHFAMINC_$10,000 to $14,999","HHFAMINC_$15,000 to $24,999","HHFAMINC_$25,000 to $34,999","HHFAMINC_$35,000 to $49,999","HHFAMINC_$50,000 to $74,999","HHFAMINC_$75,000 to $99,999","HHFAMINC_$100,000 to $124,999","HHFAMINC_$125,000 to $149,999","HHFAMINC_$150,000 to $199,999","HHFAMINC_$200,000 or more",HH_RACE_White,HH_RACE_Black or African American,HH_RACE_Asian,HH_RACE_American Indian or Alaska Native,HH_RACE_Native Hawaiian or other Pacific Islander,"MSASIZE_In an MSA of Less than 250,000","MSASIZE_In an MSA of 250,000 - 499,999","MSASIZE_In an MSA of 500,000 - 999,999","MSASIZE_In an MSA or CMSA of 1,000,000 - 2,999,999",MSASIZE_In an MSA or CMSA of 3 million or more,MSASIZE_Not in MSA or CMSA,HHFAMINC_No data,HH_RACE_Other,HH_RACE_No data,HH_HISP_No data,HH_HISP,LOG_DIST
75,20,300,50,75,20,300,50,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.775648402071689
75,20,300,50,75,20,300,50,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9813291280533772
3000,50,7000,7000,150,30,750,300,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.287578388180733
750,30,1500,300,750,30,1500,300,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8193746362610284
750,5,1500,750,750,30,1500,300,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5382462193419828
750,5,1500,750,750,30,1500,300,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.083160184109188
1500,40,3000,1500,1500,30,3000,1500,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.287578388180733
150,30,300,300,150,30,300,300,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.287578388180733
750,60,3000,1500,1500,20,3000,1500,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.117106871304274
1500,30,7000,1500,3000,50,7000,3000,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2.744896302222873
3000,50,7000,3000,5000,90,17000,7000,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3029127521808397
25,20,50,50,25,20,50,50,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.343918956487023
350,30,750,300,350,30,750,300,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9307851780246076
350,30,750,300,350,30,750,300,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.4285303810391605
3000,20,7000,1500,75,5,300,50,7,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.9019582615261306
150,30,750,300,75,20,300,50,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6511555057859688
350,20,750,300,350,20,750,300,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.287578388180733
150,20,300,300,150,40,300,300,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8355144218468673
150,20,300,300,150,40,300,300,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0804483180404385
1500,5,3000,750,1500,5,3000,750,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1631508098056809
3000,50,7000,3000,1500,30,7000,3000,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7626732432085555
