SCHOOL_DISTANCE,NEEDS_SCHOOL_BUS,CENSUS_REGION,HHFAMINC,HH_RACE,HH_HISP,MSASIZE,URBRUR
2.625,1,South Atlantic,"$25,000 to $34,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
2.625,0,West South Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.245,0,Mountain,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.605,1,East North Central,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
0.895,1,East North Central,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
2.432,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.625,1,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.633,1,Mountain,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Urban
1.778,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.852,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.899,0,West South Central,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.216,0,Pacific,"$125,000 to $149,999",No data,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
2.14,1,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.971,0,South Atlantic,"$50,000 to $74,999",Black or African American,No,Not in MSA or CMSA,Urban
1.971,0,South Atlantic,"$50,000 to $74,999",Black or African American,No,Not in MSA or CMSA,Urban
2.625,0,Pacific,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,1,Pacific,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.367,1,West South Central,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.404,0,West South Central,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Middle Atlantic,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,Middle Atlantic,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Rural
1.589,1,South Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
0.512,0,Pacific,"$25,000 to $34,999",Other,No,"In an MSA of Less than 250,000",Urban
0.512,0,Pacific,"$25,000 to $34,999",Other,No,"In an MSA of Less than 250,000",Urban
0.512,0,Pacific,"$25,000 to $34,999",Other,No,"In an MSA of Less than 250,000",Urban
13.325,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Rural
3.096,1,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Rural
3.096,1,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Rural
2.469,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,South Atlantic,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.406,1,East North Central,"Less than $10,000",White,No,Not in MSA or CMSA,Urban
7.36,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
4.474,1,West North Central,"$200,000 or more",White,No,"In an MSA of Less than 250,000",Rural
1.951,1,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.087,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.384,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.397,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.397,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.397,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
2.625,0,Pacific,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
3.638,1,West South Central,"$25,000 to $34,999",Other,Yes,"In an MSA of 500,000 - 999,999",Urban
6.764,1,West South Central,"$25,000 to $34,999",Other,Yes,"In an MSA of 500,000 - 999,999",Urban
1.865,0,East North Central,"$15,000 to $24,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
0.247,0,East North Central,"$15,000 to $24,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$200,000 or more",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$200,000 or more",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$150,000 to $199,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$150,000 to $199,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.713,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.449,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,1,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
6.137,1,East North Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"Less than $10,000",White,No,Not in MSA or CMSA,Rural
2.625,1,South Atlantic,"Less than $10,000",White,No,Not in MSA or CMSA,Rural
2.625,1,South Atlantic,"Less than $10,000",White,No,Not in MSA or CMSA,Rural
2.625,0,Pacific,"$15,000 to $24,999",American Indian or Alaska Native,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$15,000 to $24,999",American Indian or Alaska Native,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
0.855,0,Pacific,"$125,000 to $149,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.856,0,Pacific,"$125,000 to $149,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,East North Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.424,0,Mountain,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
7.343,0,Mountain,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,West South Central,"Less than $10,000",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$35,000 to $49,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Pacific,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Urban
2.625,0,Pacific,"$150,000 to $199,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
11.513,0,East North Central,"$200,000 or more",White,No,Not in MSA or CMSA,Rural
2.625,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Rural
18.995,0,East North Central,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Rural
10.648,0,West South Central,"$15,000 to $24,999",White,No,"In an MSA of 250,000 - 499,999",Rural
3.856,1,West South Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Rural
8.839,0,Pacific,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Urban
8.839,0,Pacific,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Urban
2.625,0,South Atlantic,"$10,000 to $14,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
3.603,0,Pacific,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.743,0,Pacific,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.09,0,Pacific,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.09,0,Pacific,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.09,0,Pacific,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.686,1,West South Central,"$75,000 to $99,999",White,No,"In an MSA of 250,000 - 499,999",Urban
3.846,1,West South Central,"$75,000 to $99,999",White,No,"In an MSA of 250,000 - 499,999",Urban
1.686,1,West South Central,"$75,000 to $99,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,South Atlantic,"$50,000 to $74,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
9.761,0,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
9.761,0,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
3.689,0,West South Central,"$100,000 to $124,999",American Indian or Alaska Native,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
3.115,0,West South Central,"$100,000 to $124,999",American Indian or Alaska Native,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.131,0,West South Central,"$100,000 to $124,999",American Indian or Alaska Native,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.448,0,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.448,0,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.625,1,Middle Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Urban
7.79,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
6.605,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Rural
3.426,1,Mountain,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$100,000 to $124,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$100,000 to $124,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.367,0,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.412,1,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.771,0,South Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
12.071,1,East North Central,"$125,000 to $149,999",White,No,Not in MSA or CMSA,Rural
1.33,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.69,0,East North Central,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.354,0,West South Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Rural
7.695,1,South Atlantic,"$10,000 to $14,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
7.695,1,South Atlantic,"$10,000 to $14,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Rural
0.599,0,West South Central,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.863,0,West South Central,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.148,1,West South Central,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West North Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
9.316,0,West South Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$50,000 to $74,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,South Atlantic,"$50,000 to $74,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Urban
3.951,0,West South Central,"$75,000 to $99,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,West North Central,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,East North Central,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Rural
2.625,0,East North Central,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Rural
2.625,0,West South Central,"$150,000 to $199,999",Other,No,"In an MSA of Less than 250,000",Urban
8.923,0,South Atlantic,"$100,000 to $124,999",Asian,No,"In an MSA of 500,000 - 999,999",Rural
2.94,0,Pacific,"$50,000 to $74,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
7.65,0,East North Central,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Rural
7.65,0,East North Central,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.127,0,Pacific,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
0.454,0,Pacific,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
0.433,0,East North Central,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Urban
1.354,0,East North Central,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Urban
1.616,0,East North Central,"$15,000 to $24,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
12.119,1,Middle Atlantic,"$10,000 to $14,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.231,0,Pacific,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.625,0,East North Central,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
2.625,0,West North Central,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.925,0,Pacific,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
3.027,0,Pacific,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
2.625,0,Middle Atlantic,"$200,000 or more",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,Middle Atlantic,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.625,1,Middle Atlantic,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
3.842,0,West North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.944,0,Pacific,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.091,0,Pacific,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,West North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,West North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,Middle Atlantic,"$15,000 to $24,999",Other,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Pacific,"Less than $10,000",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"Less than $10,000",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,West South Central,"Less than $10,000",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$50,000 to $74,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Urban
2.471,0,West South Central,"$200,000 or more",Asian,No,In an MSA or CMSA of 3 million or more,Urban
7.735,0,East North Central,No data,White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.259,0,East North Central,No data,White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.225,0,Pacific,"$100,000 to $124,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.224,0,Pacific,"$100,000 to $124,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
5.016,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
3.321,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.642,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.019,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.557,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.629,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.149,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.229,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.374,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.84,0,East North Central,"$150,000 to $199,999",White,No,Not in MSA or CMSA,Urban
1.084,0,East North Central,"$150,000 to $199,999",White,No,Not in MSA or CMSA,Urban
8.128,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
8.128,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
8.128,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
0.953,0,West South Central,"$35,000 to $49,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
3.664,0,Pacific,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
0.395,0,South Atlantic,"Less than $10,000",Other,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.338,0,Pacific,"$150,000 to $199,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.28,0,Pacific,"$150,000 to $199,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.558,0,Pacific,"$150,000 to $199,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
0.558,1,Pacific,"$150,000 to $199,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
0.4985,1,Pacific,"$150,000 to $199,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"$50,000 to $74,999",Other,No,Not in MSA or CMSA,Urban
2.625,0,Middle Atlantic,"$50,000 to $74,999",Other,No,Not in MSA or CMSA,Urban
5.375,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
0.289,0,Pacific,No data,White,No,"In an MSA of 250,000 - 499,999",Urban
0.202,1,South Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.202,1,South Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.355,0,West South Central,"$50,000 to $74,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
4.5885,0,Pacific,"$25,000 to $34,999",White,No,Not in MSA or CMSA,Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 250,000 - 499,999",Urban
1.518,1,South Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
4.771,0,West North Central,No data,White,No,"In an MSA of 500,000 - 999,999",Urban
3.764,0,West North Central,No data,White,No,"In an MSA of 500,000 - 999,999",Urban
0.575,0,Pacific,"$150,000 to $199,999",Asian,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,South Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,South Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,South Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West North Central,"$35,000 to $49,999",Other,No,"In an MSA of Less than 250,000",Urban
2.625,0,Mountain,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
2.922,0,Mountain,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
2.187,1,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.188,1,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
7.332,0,South Atlantic,"$100,000 to $124,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Urban
8.652,0,South Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.996,0,Middle Atlantic,"$25,000 to $34,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
3.114,0,Middle Atlantic,"$25,000 to $34,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
8.167,0,East North Central,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Rural
8.211,0,East North Central,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,1,West South Central,"Less than $10,000",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,West South Central,"Less than $10,000",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,West North Central,"$50,000 to $74,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,West North Central,"$50,000 to $74,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.838,0,Pacific,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
8.605,1,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
8.605,1,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
8.605,1,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.172,0,Pacific,"$150,000 to $199,999",Other,Yes,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,No data,Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
1.029,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.205,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
0.969,0,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
8.334,0,West South Central,"$50,000 to $74,999",White,Yes,"In an MSA of 250,000 - 499,999",Urban
2.625,0,West South Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.439,1,West South Central,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
3.703,1,West South Central,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.625,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,East North Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
