SCHOOL_DISTANCE,NEEDS_SCHOOL_BUS,CENSUS_REGION,HHFAMINC,HH_RACE,HH_HISP,MSASIZE,URBRUR
7.869,0,West South Central,"$200,000 or more",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.145,0,West South Central,"$200,000 or more",White,Yes,In an MSA or CMSA of 3 million or more,Urban
11.296,0,West South Central,"$200,000 or more",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.733,0,West South Central,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
9.067,0,Pacific,"$35,000 to $49,999",Other,No,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,"$75,000 to $99,999",Black or African American,No,Not in MSA or CMSA,Urban
7.392,0,Pacific,"$200,000 or more",White,No,"In an MSA of 250,000 - 499,999",Rural
7.392,0,Pacific,"$200,000 or more",White,No,"In an MSA of 250,000 - 499,999",Rural
2.625,0,West South Central,"$35,000 to $49,999",Asian,No,In an MSA or CMSA of 3 million or more,Rural
2.625,1,South Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,South Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
4.798,0,West South Central,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
5.083,0,West South Central,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.608,0,South Atlantic,"$10,000 to $14,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.083,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.083,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.993,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.993,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
7.431,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
7.69,0,Middle Atlantic,"$200,000 or more",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Urban
3.177,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,East North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,1,East North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
12.53,0,West South Central,"$35,000 to $49,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
5.721,1,Pacific,"$150,000 to $199,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$150,000 to $199,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
4.795,1,South Atlantic,"$35,000 to $49,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
4.743,1,South Atlantic,"$35,000 to $49,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
